"","LastName","value","L1"
"288","Lanting","R",24263394
"289","Alberton","F",24254968
"290","Kamienski","MC",24247305
"291","Motolese","A",24214953
"292","Cuylits","N",24195241
"293","Shewring","DJ",24194613
"294","Corradino","B",24188318
"295","Munson","CF",24164133
"296","Izadpanah","A",24163199
"297","Türker","T",24140364
"298","Peimer","CA",24140362
"299","Tajika","T",24129389
"300","Sanjuan Cerveró","R",24125161
"301","Ould-Slimane","M",24094664
"302","Wong","KH",24093653
"303","Hayton","MJ",24092562
"304","Krohmer","R",24089307
"305","Vollbach","FH",24089298
"306","Dębniak","T",24089297
"307","Martín-Ferrero","MÁ",24071041
"308","Nydick","JA",24060510
"309","Veith","NT",24043350
"310","Trickett","RW",24027133
"311","Pearl","RA",24025292
"312","Holzer","LA",23998192
"313","Holzer","LA",23992143
"314","Hartzell","TL",23985650
"315","Degreef","I",23926723
"316","Verhoekx","JS",23924646
"317","Coenen","M",23911076
"318","Dias","JJ",23910381
"319","Baltzer","H",23908426
"320","Lanting","R",23897337
"321","Foissac","R",23856551
"322","Bíró","V",23816892
"323","von Domarus","C",23812208
"324","Collis","J",23790420
"325","Ellis","H",23767268
"326","Stewart","CJ",23739146
"327","Iskra","NI",25095677
"328","Manning","CJ",23719171
"329","Swanson","JW",23707029
"330","Denkler","K",23707028
"331","Wilburn","J",23707018
"332","Iskra","NI",23705474
"333","Verhoekx","JSN",23652794
"334","Hay","DC",23649016
"335","Raykha","C",23623986
"336","Centauri","SM",23614893
"337","Ball","C",23575442
"338","Forrester","HB",23554969
"339","Amadio","PC",23515992
"340","Raven","RB",23511746
"341","De Salas-Cansado","M",23507313
"342","Medjoub","K",23503435
"343","Herrera","FA",23486126
"344","Skirven","TM",23474162
"345","De Salas-Cansado","M",23461499
"346","Verjee","LS",23431165
"347","Dias","J",23409695
"348","Dahlin","LB",23409694
"349","Trybus","M",23401985
"350","Swanson","JW",23391354
"351","Gudmundsson","KG",23386754
"352","Wagner","P",23354642
"353","van Dijk","D",23320611
"354","Zyluk","A",23303836
"355","Satish","L",23292503
"356","Das De","S",23283376
"357","Zyluk","A",24734329
"358","Bednarek","M",24697025
"359","Al-Homood","IA",23247555
"360","Zheng","HY",23238117
"361","Witthaut","J",23218556
"362","Uehara","K",23218555
"363","Peimer","CA",23200951
"364","Chignon-Sicard","B",23190833
"365","Knobloch","K",23173284
"366","Knobloch","K",23173283
"367","Knobloch","K",23173282
"368","Knobloch","K",23173281
"369","Gelman","SE",23160547
"370","Davis","TR",23151352
"371","Wei","DH",23141048
"372","Kan","HJ",23137947
"373","Ellis","CV",23096981
"374","Hentz","VR",23101605
"375","Broekstra","DC",23101542
"376","Karabeg","R",23097972
"377","Ragois","P",23084652
"378","Ferry","N",23043989
"379","Holzer","LA",23042779
"380","Raina","S",23041748
"381","Knobloch","K",23031080
"382","Gonser","P",23027336
"383","Dolmans","GH",23021175
"384","Bendon","CL",23015566
"385","Jónsson","T",22991974
"386","Verhoekx","JS",22987740
"387","Ratkaj","I",22965824
"388","Devitt","SM",22964196
"389","Glicenstein","J",22953333
"390","Werker","PM",22938804
"391","Kan","HJ",22917697
"392","Rozen","WM",22912868
"393","Beleta","H",22879605
"394","Azzopardi","E",22875519
"395","Kraus","R",22833071
"396","Sedic","M",22821590
"397","Capstick","R",22791609
"398","Rehman","S",22772395
"399","Shih","B",22772327
"400","van Rijssen","AL",22763055
"401","Denkler","K",22743929
"402","Knobloch","K",22743927
"403","Beaudreuil","J",22743925
"404","Dawson","WJ",22739824
"405","Bainbridge","C",22670890
"406","Redmond","CL",22658410
"407","Miranda","BH",22652288
"408","Agee","JM",22652177
"409","Anderson","ER",22634541
"410","McMillan","C",22633226
"411","Ly","L",22571568
"412","von Campe","A",22560560
"413","Satish","L",22559715
"414","Knobloch","K",22544146
"415","Cooper","DK",22541160
"416","Coleman","S",22540636
"417","Pereira","A",22523924
"418","Ratajczak-Wielgomas","K",22512703
"419","Giunta","RE",22499538
"420","Docheva","D",22495955
"421","Dolmans","GH",22489561
"422","Pess","GM",22464232
"423","Ryhänen","J",22448555
"424","Carlile","GS",22422775
"425","Robb-Nicholson","C",22396989
"426","Engstrand","C",22389944
"427","Syed","F",22384021
"428","Macaulay","D",22369346
"429","Edkins","TJ",22357647
"430","White","JW",22357334
"431","Beaudreuil","J",22357333
"432","Seah","MK",22351544
"433","Wilkinson","JM",22342364
"434","Kemler","MA",22311918
"435","Giunta","RE",22308592
"436","Popovic","D",22305736
"437","Picardo","NE",22297148
"438","Iskra","NI",22295554
"439","Wiwanitkit","V",22281175
"440","Worrell","M",22229922
"441","Descatha","A",22213840
"442","Bednarek","M",23750436
"443","Krause","C",22196988
"444","Hallock","GG",22186568
"445","Knobloch","K",22183982
"446","Shih","B",22183494
"447","Iskra","NI",22168030
"448","Nikolić","J",22165757
"449","Van Demark","RE",22164819
"450","Sadideen","H",22161933
"451","Black","EM",22134207
"452","Dute","J",22128525
"453","Christie","WS",22123331
"454","Brown","E",22123050
"455","Weinstein","AL",22094744
"456","Bayat","A",22083218
"457","Descatha","A",22083013
"458","Balaji","KN",22047569
"459","Merritt","AL",22036284
"460","Lo","S",22002938
"461","van Rijssen","AL",21987045
"462","Chen","NC",21981831
"463","Kaplan","FT",21971540
"464","Witthaut","J",21967070
"465","Larocerie-Salgado","J",21965179
"466","Michou","L",21962384
"467","Rehman","S",21943049
"468","Meinel","A",21935846
"469","Richter","M",21935845
"470","Spanholtz","TA",21935844
"471","Holzer","LA",21935843
"472","Pomblum","VJ",21922211
"473","Ravindran Rajendran","S",21917496
"474","Wynn","RL",21903562
"475","Ruocco","V",21893950
"476","Ray","S",21888166
"477","Al-Matubsi","HY",21831469
"478","Tate","R",21816893
"479","Bielecki","M",21812360
"480","Michou","L",21803632
"481","Beaudreuil","J",21786431
"482","Craft","RO",21738085
